threat,pat,gap_2026,gap_2027,category,gap_magnitude_2027
Insider Threat,AD,-0.1544303050168105,-0.11606262620241335,OWG,0.11606262620241335
Insider Threat,KD,-0.1537850629167961,-0.11496312920049913,OWG,0.11496312920049913
Insider Threat,MTD,-0.14766818856834765,-0.11102110817523696,OWG,0.11102110817523696
Botnet,CAPTCHA,-0.1277070468438654,-0.10500701495118787,OWG,0.10500701495118787
Phishing,NLP/LLM,0.06202368522867907,0.1034480907087451,OWG,0.1034480907087451
APT,LP,-0.1083610774409104,-0.0864126638943229,OWG,0.0864126638943229
APT,DT,-0.10682972823818154,-0.0845923778086166,OWG,0.0845923778086166
APT,PT,-0.10579461557275373,-0.08360527552780324,OWG,0.08360527552780324
APT,AC,-0.105057999016383,-0.08275611395297396,OWG,0.08275611395297396
APT,RA,-0.10492546720786344,-0.08252974296669151,OWG,0.08252974296669151
APT,MFA,-0.10313796800868459,-0.08237492758402633,OWG,0.08237492758402633
APT,DRM,-0.1061810586620312,-0.08208304906070403,OWG,0.08208304906070403
APT,DLP,-0.10553572703083246,-0.08174331605746034,OWG,0.08174331605746034
APT,GT,-0.10162218971534884,-0.07826818373756837,OWG,0.07826818373756837
Botnet,IDS/IPS,-0.07235700775247816,-0.049620357630548007,OWG,0.049620357630548007
Trojan,NLP/LLM,-0.0010905561665597273,0.04756047695791386,OWG,0.04756047695791386
Dropper,NLP/LLM,-0.0721164681062771,-0.04589011786299548,OWG,0.04589011786299548
Data Poisoning,TAI,-0.06707078961366283,-0.04143942123153694,OWG,0.04143942123153694
Account Hijacking,NLP/LLM,-0.02451125789021721,0.02668595690880513,OWG,0.02668595690880513
Data Poisoning,NLP/LLM,-0.057191397385556925,-0.01673764689021519,OWG,0.01673764689021519
Botnet,NLP/LLM,-0.07704323991136944,-0.013535559704165312,OWG,0.013535559704165312
Botnet,TS,-0.04386687826810492,-0.010182543288972234,OWG,0.010182543288972234
Ransomware,NLP/LLM,-0.02845877908028844,0.004256745650494188,OWG,0.004256745650494188
Zero-day,VPN,0.08300617956581269,0.048472429877829494,SNG,0.048472429877829494
Backdoor,ML/DL,0.05424810160810459,0.04813707089027818,SNG,0.04813707089027818
Zero-day,NLP/LLM,0.05017854046106458,0.042426200383765565,SNG,0.042426200383765565
Supply Chain Attack,SCRM,0.08123421413894383,0.03818799735711118,SNG,0.03818799735711118
IoT Device Attack,CR,-0.046536137086865645,-0.033912743846155585,SNG,0.033912743846155585
IoT Device Attack,PT,-0.04569626862255703,-0.032911530607518225,SNG,0.032911530607518225
Supply Chain Attack,IdM,0.101623254000805,0.03197283641114374,SNG,0.03197283641114374
Ransomware,IDS/IPS,-0.02377254692139715,-0.0318280522758885,SNG,0.0318280522758885
IoT Device Attack,MFA,-0.043039621058487895,-0.031681182663741314,SNG,0.031681182663741314
IoT Device Attack,BC,-0.04453548662025193,-0.031497134862100096,SNG,0.031497134862100096
Adversarial Attack,NLP/LLM,0.01809136228526942,0.030906887915009933,SNG,0.030906887915009933
MITM,PKI,-0.03817243519634776,-0.03085882779013153,SNG,0.03085882779013153
IoT Device Attack,SB,-0.04314030357068914,-0.02977556637410425,SNG,0.02977556637410425
IoT Device Attack,AD,-0.04239456828363056,-0.02908804512837516,SNG,0.02908804512837516
IoT Device Attack,MS,-0.04201905923034764,-0.02868757065148635,SNG,0.02868757065148635
Targeted Attack,IDS/IPS,-0.0013421551288254844,-0.026300919786040673,SNG,0.026300919786040673
DNS Spoofing,DNSSEC,0.037972263983213544,0.02474587358915843,SNG,0.02474587358915843
Deepfake,3DFR,0.013196080129100592,-0.0219977398652698,SNG,0.0219977398652698
Adversarial Attack,AdT,0.043914290538271075,-0.021640492488318886,SNG,0.021640492488318886
Account Hijacking,IdM,0.009588898268411314,-0.01689611178834355,SNG,0.01689611178834355
Adversarial Attack,SS,-0.0013542147586989121,0.015221939622741558,SNG,0.015221939622741558
Deepfake,NLP/LLM,0.007703947217815758,0.014212631463610242,SNG,0.014212631463610242
Trojan,IDS/IPS,0.0035956759923315576,0.011475679031531167,SNG,0.011475679031531167
Disinformation,NLP/LLM,0.011492711058507514,0.010075264833894851,SNG,0.010075264833894851
Targeted Attack,NLP/LLM,-0.00602838728771677,0.009783878140342019,SNG,0.009783878140342019
Account Hijacking,IDS/IPS,-0.019825025731325926,-0.009398841017577562,SNG,0.009398841017577562
DDoS,BT,-0.0068662903059002744,-0.00842312004891461,SNG,0.00842312004891461
DDoS,BH,-0.00760820925506088,-0.008390585356653288,SNG,0.008390585356653288
Targeted Attack,UBA,0.02689080020517333,-0.008067815769058463,SNG,0.008067815769058463
Cryptojacking,TA,0.03613949622691007,-0.007902515557784581,SNG,0.007902515557784581
Password Attack,GA,-0.005804996844388927,-0.00747036631456192,SNG,0.00747036631456192
Zero-day,IDS/IPS,0.05486477261995587,0.006341402457382873,SNG,0.006341402457382873
Adversarial Attack,TAI,0.008211970057163514,0.006205113573688183,SNG,0.006205113573688183
Password Attack,CR,-0.004276248439605987,-0.005720811748544423,SNG,0.005720811748544423
Password Attack,PP,-0.004362982802249449,-0.005705196566341071,SNG,0.005705196566341071
DDoS,RC,-0.004551083610977155,-0.005595101433118625,SNG,0.005595101433118625
Password Attack,MA,-0.004094160201690372,-0.005527678050657366,SNG,0.005527678050657366
Password Attack,PH,-0.0034698311141067723,-0.004824837852497127,SNG,0.004824837852497127
Vulnerability,CFI,-0.004943797784350251,-0.004818076122437925,SNG,0.004818076122437925
Password Attack,PT,-0.003436379975297374,-0.004719598509907062,SNG,0.004719598509907062
DDoS,PT,-0.003332732321402465,-0.004291966175550953,SNG,0.004291966175550953
Vulnerability,PMT,-0.005047472793390184,-0.00418468939008144,SNG,0.00418468939008144
Vulnerability,SC,0.003088935122172287,0.0036882323844898424,SNG,0.0036882323844898424
Password Attack,MFA,-0.0007797324112282372,-0.003489250566130151,SNG,0.003489250566130151
Vulnerability,PT,-0.002683929694133169,-0.0030885143221874023,SNG,0.0030885143221874023
DDoS,BC,-0.0021719503190973655,-0.0028775704301328233,SNG,0.0028775704301328233
Password Attack,PSM,-0.0021137158847902987,-0.0027200270822911135,SNG,0.0027200270822911135
Password Attack,PM,-0.0009862598231245995,-0.0018413509940964634,SNG,0.0018413509940964634
